Date,Open,High,Low,Close,Adj Close,Volume
2012-07-10,22700,22840,22420,22540,18269.73047,17720700
2012-07-11,22580,22660,22160,22360,18123.82813,18001300
2012-07-12,22420,22520,21820,21820,17686.13672,24858600
2012-07-13,21920,22880,21820,22780,18464.26758,27070750
2012-07-16,22900,23100,22660,23040,18675.00781,15261950
2012-07-17,22960,23560,22720,23360,18934.37695,15885300
2012-07-18,23580,23700,22760,23080,18707.41992,14618050
2012-07-19,23600,24040,23440,23900,19372.07617,24847100
2012-07-20,24040,24060,23820,23820,19307.23242,11992100
2012-07-23,23300,23400,23100,23240,18837.10938,12844350
2012-07-24,23300,23500,23180,23400,18966.80273,14598050
2012-07-25,23060,23440,22780,23160,18772.27148,13609850
2012-07-26,23380,23480,23200,23440,18999.2207,13654750
2012-07-27,23900,24660,23820,24660,19988.09375,26686200
2012-07-30,25200,25560,25020,25500,20668.95117,19113350
2012-07-31,25600,26680,25500,26180,21220.11914,33735650
2012-08-01,25840,26300,25660,26000,21074.22852,19039100
2012-08-02,26000,26080,25220,25260,20474.42188,15951250
2012-08-03,24800,25340,24760,24860,20150.19922,15582650
2012-08-06,25700,26100,25640,25960,21041.79883,12289150
2012-08-07,26060,26080,25680,25880,20976.95898,10258400
2012-08-08,26120,26560,26020,26400,21398.44141,19459150
2012-08-09,26420,26960,26360,26800,21722.66016,30612650
2012-08-10,26700,26960,26600,26960,21852.34961,14733250
2012-08-13,26840,26940,26460,26500,21479.49414,9891050
2012-08-14,26520,27000,26520,26900,21803.71289,14396850
2012-08-16,27080,27100,26760,26900,21803.71289,14824150
2012-08-17,26880,26900,25720,25900,20993.17188,27642800
2012-08-20,25400,25660,25100,25660,20798.64063,19944800
2012-08-21,25840,26040,25640,25640,20782.42773,15315200
2012-08-22,25380,25620,25140,25280,20490.63281,16031200
2012-08-23,25220,25740,24980,25740,20863.47852,13857750
2012-08-24,25400,25740,25280,25500,20668.95117,14077200
2012-08-27,23780,24060,23460,23600,19128.91211,63803450
2012-08-28,23720,24180,23600,23900,19372.07617,27767400
2012-08-29,24180,24700,24140,24600,19939.45898,23415550
2012-08-30,24560,24580,24040,24300,19696.29492,16211400
2012-08-31,24220,24680,24140,24660,19988.09375,20301300
2012-09-03,24400,24700,24020,24360,19744.92969,13903800
2012-09-04,24380,24560,24200,24360,19744.92969,9916550
2012-09-05,24100,24240,23780,23780,19274.80859,17381950
2012-09-06,24000,24060,23860,23920,19388.29102,12373750
2012-09-07,24600,25020,24400,25000,20263.67773,25512400
2012-09-10,25200,25280,25000,25000,20263.67773,15883700
2012-09-11,24800,25300,24640,25120,20360.94141,9890800
2012-09-12,25360,25900,25180,25880,20976.95898,18473250
2012-09-13,25980,26100,25620,26020,21090.43359,19489950
2012-09-14,26600,26780,26540,26720,21657.82227,24872500
2012-09-17,26720,26720,26240,26300,21317.38672,14896000
2012-09-18,26280,26720,26160,26300,21317.38672,11232300
2012-09-19,26120,26460,25960,26280,21301.17383,12114550
2012-09-20,25860,26100,25680,25740,20863.47852,14199800
2012-09-21,26000,26140,25900,26040,21106.64648,14913400
2012-09-24,26000,26560,25840,26540,21511.91992,13195450
2012-09-25,26200,26680,26200,26540,21511.91992,11348000
2012-09-26,26260,26500,26120,26500,21479.49414,12054550
2012-09-27,26540,26840,26460,26760,21690.24023,14541600
2012-09-28,27180,27200,26780,26920,21819.92578,17906350
2012-10-02,27080,27420,27040,27380,22192.77344,13376250
2012-10-04,27020,27460,26780,27340,22160.35156,19127200
2012-10-05,27740,27800,27040,27400,22208.99219,17828800
2012-10-08,27500,27580,27200,27460,22257.61719,12037600
2012-10-09,27260,27620,27260,27440,22241.41211,8788650
2012-10-10,27060,27200,26500,26500,21479.49414,12976700
2012-10-11,26200,26400,25740,26080,21139.06641,23779850
2012-10-12,26100,26240,25760,25920,21009.37695,14977250
2012-10-15,25920,26240,25740,26000,21074.22852,10334000
2012-10-16,26520,26620,26300,26600,21560.54883,10671300
2012-10-17,26840,26920,26320,26720,21657.82227,8984550
2012-10-18,26720,26820,26560,26740,21674.02734,10498450
2012-10-19,26460,26500,25980,26040,21106.64648,13969950
2012-10-22,25540,26340,25520,26300,21317.38672,11741150
2012-10-23,26380,26440,26040,26260,21284.96875,9253550
2012-10-24,25940,26180,25780,26000,21074.22852,13454500
2012-10-25,25920,26440,25820,26440,21430.86719,11881100
2012-10-26,26120,26240,25740,25740,20863.47852,13793850
2012-10-29,25960,25980,25580,25980,21058.01367,11448050
2012-10-30,25980,26080,25840,25960,21041.79883,6643850
2012-10-31,26120,26240,25980,26200,21236.33008,10604850
2012-11-01,25900,26040,25800,25940,21025.5918,10455600
2012-11-02,26380,26660,26260,26540,21511.91992,18521400
2012-11-05,26560,26980,26400,26820,21738.86719,13062050
2012-11-06,26980,26980,26640,26980,21868.56055,8981800
2012-11-07,26860,27240,26700,27240,22079.30078,9676400
2012-11-08,26960,27140,26820,27000,21884.76758,15326600
2012-11-09,26700,27020,26520,26820,21738.86719,14550300
2012-11-12,26620,26940,26620,26900,21803.71289,6959250
2012-11-13,26940,26980,26520,26980,21868.56055,7325850
2012-11-14,27140,27140,26920,27100,21965.82031,10436000
2012-11-15,26700,26760,26520,26620,21576.75977,9959100
2012-11-16,26440,26520,26020,26140,21187.70117,12172550
2012-11-19,26300,26840,26260,26640,21592.9707,10137500
2012-11-20,27060,27300,26920,27280,22111.72656,13420300
2012-11-21,27520,27940,27440,27680,22435.93945,17780400
2012-11-22,27880,28380,27820,28340,22970.90625,14930950
2012-11-23,28440,28840,28340,28740,23295.12305,12322050
2012-11-26,28840,28860,27980,28080,22760.16016,13749850
2012-11-27,28100,28560,28080,28320,22954.69141,11836200
2012-11-28,28000,28760,27920,28260,22906.06641,14055800
2012-11-29,28040,28440,28040,28280,22922.26953,13073300
2012-11-30,28460,28500,27980,28120,22792.58203,16427600
2012-12-03,28400,28720,28160,28600,23181.64648,10220850
2012-12-04,28640,28680,28400,28600,23181.64648,9504900
2012-12-05,28600,29100,28540,29100,23586.92383,12436400
2012-12-06,29360,29420,28680,29080,23570.70898,14248700
2012-12-07,29000,29960,29000,29600,23992.19141,15882450
2012-12-10,30120,30120,29700,29820,24170.50977,13056100
2012-12-11,29960,29960,29380,29520,23927.34961,12657350
2012-12-12,29460,29920,29460,29800,24154.30078,15244450
2012-12-13,30000,30660,29860,30660,24851.37305,30680500
2012-12-14,30320,30720,30160,30300,24559.57422,13905250
2012-12-17,30020,30480,29940,30060,24365.04492,15511100
2012-12-18,30000,30320,29900,30300,24559.57422,13538450
2012-12-20,30300,30580,29900,30060,24365.04492,20128500
2012-12-21,29860,29920,28800,28840,23376.17969,27576200
2012-12-24,28960,29520,28840,29480,23894.92773,14488550
2012-12-26,29600,30060,29400,29400,23830.08008,14038700
